,name,review,date_old,rating,company,country,date,topic,content
11,Lex Lee,2.0,"Friday, October 11, 2024 at 04:58:54 p.m.",1,amazon,United States,2024-10-01 16:58:54,inconsiderate ,first i want to say for this company to be a multi billion dollar company they are inconsiderate phone was stolen and someone stole my identity by opening locker with the items that i had shipped to it and because its considered a pick up im being penalized and not refunded or reshipped  they the customer service has you on hold hot 45 mins 
12,Renan Piccolo,2.0,"Saturday, October 12, 2024 at 07:49:51 a.m.",1,amazon,United Kingdom,2024-10-01 07:49:51,incorrect item received and inconvenient return process,i ordered a noco gb50 battery from your website but was sent the wrong item a noco gb40 since 4 october 2024 i have been trying to return the incorrect item but the only option provided to me is through royal mail this is highly inconvenient as royal mail only collects from monday to friday and i work during these days additionally there is no collection service on weekendsi have asked if i could return the item via a nearby amazon locker but was told that royal mail is the only option available this is unfair as i did not receive the correct product and now i am facing difficulties in returning iti kindly ask you to offer a more convenient return solution and process my refund as soon as possible
13,Ninja Ape,9.0,"Wednesday, October 9, 2024 at 05:44:08 p.m.",1,amazon,Germany,2024-10-01 17:44:08,amazon is useless,amazon doesnt care about its customers the customer service couldnt care less about any issues their system is useless if something goes wrong you have to take care of it yourself and waste your time to fix something that was messed up by amazon most articles sold there are available cheaper on other platforms especially chinese merchandise in short amazon is useless besides its questionable business practices
14,Glyn,5.0,"Thursday, October 10, 2024 at 07:22:45 p.m.",1,amazon,United Kingdom,2024-10-01 19:22:45,no stars is too many,if i could give no stars i wouldordered something it was  handed to resident  which it wasntcontacted customer service who said after the 9th oct we will refund or replace i contacted them today to be told wait until the 13th then contact them againwell i hope the driver likes his new earbuds bloody thief
15,JONAHQ,6.0,"Friday, October 11, 2024 at 11:05:22 a.m.",1,amazon,United Kingdom,2024-10-01 11:05:22,very unprofessional service,i have prime for around ten years was always go but in the last 3 years down the toilet telling you on your order the time of delivery is 1pm then getting a text to say attempted delivery at 8amand making all your orders be delivery between 3pm to 10pm just because you asked for them to returnvery unprofessional and amazon is going down 
16,Stephen Tomkinson,5.0,"Thursday, October 10, 2024 at 07:57:21 p.m.",1,amazon,United Kingdom,2024-10-01 19:57:21,the last two deliveries ive received,the last two deliveries ive received have been empty i will say that amazon have refunded me but is there a problem ive spent thousands of pound using amazon but is there an issue with delivery drivers removing products and leave it up to the buyer to report with no update check your deliver before the courier leaves 
17,Daniel,2.0,"Thursday, October 10, 2024 at 04:17:35 a.m.",1,amazon,United States,2024-10-01 04:17:35,no customer service,no customer service very bad designed and structured website the worse app i ever see the most expensive prices they dont care about delivery date they can extend it as much they want a company dont follows any laws or rules my question have this site have customers seriously i dont find one point positive here or everyone dont know nothing or this site cannot have sales they are the worse on everything this company must be shut down its like mafia in everything
18,david gavami,8.0,"Friday, October 11, 2024 at 03:00:20 p.m.",1,amazon,United States,2024-10-01 15:00:20,no more amazion orders,i have been ordering items from amazon for many years this past week something has changed they are now requiring a one time pass code on all my items one that is still in route is requesting signature on delivery they give me 45 hour window upto 10 pm this has happened on all my recent orders obviously it is a waste of my time to stay home and wait for deliveries its actually stupid way of doing business needless to say i cancelled my membership immediately this company is so huge that losing a little guy like me is nothing to them or to mr bezos i probably spelled his name wrong didnt want to waste my time looking it up i dont get bullied by any business we need to get them where it hurts stop ordering items from them then they will listen
19,Mr Barry,28.0,"Thursday, October 10, 2024 at 09:24:17 a.m.",4,amazon,Ireland,2024-10-01 09:24:17,i find the company to be overall in tune with customers needs,speaking purely as a buyer never sold on the platform ive found them to be responsive to customer issues and problems not that ive had many a few times damaged goods over many many years of using amazon in each case its been resolved promptly and with minimal of fussi know its a bit company and id like to see more competition but i at least feel mostly confident buying items there v something like ebay which is very mixed in terms of users and sellers some good ones and some awful ones who sell fake goods etcim mostly happy though the recent hike to 35 for free delivery is a bit much i think used to be 25
20,Ale Paglia Azzimonti,1.0,"Wednesday, October 9, 2024 at 10:58:33 a.m.",1,amazon,Italy,2024-10-01 10:58:33,extremely disappointed ,having lived previously in california ive been a fan of amazon until now im absolutely disappointed one week ago i purchased a conga vacuum cleaner supposedly in as new condition in the end i received a badly damaged item i returned it and 2 days ago i placed a new order for this time a new one i learnt my lesson in italy and guess what the same damaged  item arrived no words 
21,Terri,2.0,"Thursday, October 10, 2024 at 08:05:04 p.m.",1,amazon,Germany,2024-10-01 20:05:04,i was scammed by an amazon seller,i was scammed by an amazon seller after much back and forth i just kept receiving prewritten replies took forever amd eventually i was told sorry cant help i am out money and amazon takes no responsibility for the fact that they allowed fraud sellers to scam their customer
22,ingrid flores,1.0,"Thursday, October 10, 2024 at 12:18:28 p.m.",1,amazon,United States,2024-10-01 12:18:28,amazon sucks for rural communities ,amazon sucks for rural communities  i cannot get packages delivered here cause they can never let me know wether or not they need the post office box to deliver to or the street address 
23,Sarah,3.0,"Thursday, October 10, 2024 at 04:41:26 a.m.",1,amazon,Finland,2024-10-01 04:41:26,worst company on planet earth,i have bought items from amazon a few times having fighted the company for refunds on damaged and returned items i only wonder yall americans live like this this is the most horrible company for a customer to buy from thank god amazon doesnt have a monopoly in nordic countries at least yet it doesnthaving monopoly of the market is the only way a company this horrible stays in business items are packed horribly customer service runs customers in circles and offers nothing but empty promises most of the items sold on the website are utter trashyall if you dont need an itemn from this company to survive its not worth it 
24,Stephanie Moore,1.0,"Friday, October 11, 2024 at 04:14:00 p.m.",1,amazon,United States,2024-10-01 16:14:00,if i could give no stars,if i could give no stars this would be too much in july i had 3 different issues with items either not arriving and needing to be replaced or returned and then put off for receiving the refund i am still awaiting a refund for a product that i asked for a replacement for in july and was charged for the replacement 3 weeks ago  the amazon reasoning was they never received the return i never received the original item which was why a replacement was ordered 7 times i was taken around in circles by customer service stating that they would issue the refund i was even sent emails all of which stated that the refund was being processed it was not amazon needs new operations management and customer service that actually has the ability to get this straight for all customers
25,Linda Weaver,32.0,"Friday, October 11, 2024 at 10:06:38 a.m.",5,amazon,United Kingdom,2024-10-01 10:06:38,always reliable great service  ,thankyou to amazon  my items always arrive  on time and i havent been let down by this  company i always feel confident  my goods will arrive in good condition and feel i can rely upon amazon for  such a wide selection of goods plus theres always a good customer service thankyou 
26,Daniel,2.0,"Thursday, October 10, 2024 at 01:03:39 a.m.",1,amazon,Canada,2024-10-01 01:03:39,credit card info stolen and used,my credit card info was stolen and used on another persons account over a thousand dollars spentamazon spends day after day looking into it only to come back every time and say we dont see these purchases on your account its not on my account its my credit card on someone elses account how can they not trace the form of payment to an account and see where the items shipped to 0 customer service even when its theft over a thousand 
27,p fisher,93.0,"Tuesday, October 8, 2024 at 06:51:01 p.m.",1,amazon,United Kingdom,2024-10-01 18:51:01,criminal behaviour,i told amazon to cancel an order the driver still tried to deliver two days later then returned the next day and told my neighbours lied that he had spoken to me and i had said they ought to take it despite me telling them nohe bullied and harassed themamazon stole my money and three weeks later i am still awaiting the refund despite them having the item back
28,Jonathan Ortiz,1.0,"Thursday, October 10, 2024 at 05:27:50 p.m.",1,amazon,United States,2024-10-01 17:27:50,amazon false advertisement ,amazon prime day deals are fake they use false advertising used to be a very good app but recently every item recomendation is sponsored and low quality with lots of false advertising
29,Adam Zielinski,19.0,"Saturday, October 12, 2024 at 08:33:54 a.m.",1,amazon,United Kingdom,2024-10-01 08:33:54,methey lie,they lie they cheat they steal you cant file a complaint with them because they hang up they are rude the entire customer service is just pigsi dont recommend amazon to anyone
30,Dave,19.0,"Friday, October 11, 2024 at 05:39:25 p.m.",1,amazon,United Kingdom,2024-10-01 17:39:25,shameful,ok so we all know amazon are expensive you can always find the item cheaper elsewhere on the internet however with amazon the return policy was their unique advantage or at least it was sadly no longer to explain i bought 9 items of clothing from amazon in the recent amazon prime sale they arrive and unfortunately their sizing was way out and far too big for me i had assumed there wouldnt be a problem as i could exchange the items for the correct size unfortunately no on these items amazon have a no return policy which was completely invisible at time of purchase how underhand is that absolutely disgraceful i have not even tried the items on trust me i dont need to to understand they are massively too bigim not even asking for a refund simply want an exchange for the right size but seems theyd are adamant no exchange possibleplease please read this review and bear it in mind before you purchase from amazon they are not the company they used to be
32,Florian Best,1.0,"Tuesday, October 8, 2024 at 09:39:42 p.m.",1,amazon,United States,2024-10-01 21:39:42,horrible customer service over the chat ,horrible customer service over the online chat a few years ago online chat customer service was awesomei dont know what happened nowadays but its a complete joke  they keep transferring you from one person to another seems like nobody knows what they are doing nor how to help you you have to repeat your issue over and over again to each new agentsits a frustrating disaster a big company like amazon should be ashamed about that 
33,YSBroly,2.0,"Friday, October 11, 2024 at 10:16:34 a.m.",1,amazon,United Kingdom,2024-10-01 10:16:34,never pre order from amazon,never pre order from amazoni pre ordered dragon ball sparking zero all the way back in june 2024 4 months before release day hoping to receive it on release day october 11th 2024 because thats the whole point of pre ordering however i havent received the game on release day and its looking like the pre order will arrive a few days late other people who pre ordered from game and smyth toys have already received their pre order on release day whats even worse is some people got the game on release day without even pre ordering by just going in retail store to pick it up in person so my point is if you guy want to pre order any game to get it on time do not bother with amazon but rather pre order from game or digital edition on the playstation store no point pre ordering if you are not going to get it on time
34,Carey Simon,1.0,"Wednesday, October 9, 2024 at 03:09:00 p.m.",1,amazon,United States,2024-10-01 15:09:00,what is happening to amazon,what is happening to amazon used to be reliable and could get customer service i ordered something to be delivered to my office i always make sure i have instructions as to the hours the building is openwhich do not include 4 am multiple times ive had notices that they tried to deliver and couldntand the hours were always before or after the building was open sometimes i still get the order sometimes i dont i definitely dont when i use my business account which ill never use again and i cant get help for customer service because there is no customer service
35,Mr Paul Palmer,21.0,"Saturday, October 12, 2024 at 10:39:38 a.m.",1,amazon,United Kingdom,2024-10-01 10:39:38,shocking service from a business which no longer cares,shocking service and the problem is theyre too big to carealthough my account is in credit with gift cards ive earned they have blocked me from using any other service than digital whybecause their idiot couriers left parcels on my front door step and i never received them by the way i live in a one way 300yr old wynd where people using the wynd to get to yarm high street walk right by all front doors in the street no gardens no gates just 500mm steps from the cobbles it compares to leaving them on a busy street on your garden wall anyone can walk by and just take after it happened the first time i sent them images ion my step and street and told them i have no safe place either leave with a neighbour or take back and card me and a couple of months later they repeat the arrogance of their account specialist who sign off as exactly thatamazoncouk
36,Miss Stella,1.0,"Wednesday, October 9, 2024 at 10:53:01 p.m.",1,amazon,United States,2024-10-01 22:53:01,i ordered and returned a kenneth cole,i ordered and returned a kenneth cole luggage within a week with the label provided by kenneth cole this was ordered thru amazon i communicated with amazon customer service and was told they will not refund my money because they were unable to find tracking number that kenneth cole provided in my account in which amazon have access to so this is how kenneth cole and jeff beso make their billions they stolen my money
37,Mark Hudson,11.0,"Thursday, October 10, 2024 at 01:30:39 a.m.",1,amazon,United Kingdom,2024-10-01 01:30:39,mattress missing and bed left in rain ,so my son has ordered  a bed  with bedding to be delivered  the pillows were left in next doors alley one day  the bedding left by our front door on a main road  the next day  and the bed frame was left out in the rain for 3 hours the following day with no signatures at all now the mattress has not turned up for 4 days despite being promised for sunday what terrible customer service and difficult to complain or speak to anyone  
38,Brian Walker,2.0,"Monday, October 7, 2024 at 07:06:33 p.m.",1,amazon,United Kingdom,2024-10-01 19:06:33,extremely difficult to cancel prime,extremely difficult to cancel prime fee continues to be taken after many attempts to cancel the only way to stop it is to remove payment card that means no purchases until everything has ceased prime is only suspended so if card is restored payment is taken immediately money grabbing 
39,Paul Chapman,35.0,"Tuesday, October 8, 2024 at 04:28:08 a.m.",1,amazon,United Kingdom,2024-10-01 04:28:08,i ordered an item which was obviously,i ordered an item which was obviously on offer normally 399 on offer at 56 only one item left in stock i thought maybe end of line i ordered amazon took payment from my bank two days later i recieved an email from amazon stating that my order had been cancelled no reason given no option to reply
40,Ginger Miller,1.0,"Wednesday, October 9, 2024 at 09:13:53 a.m.",5,amazon,United States,2024-10-01 09:13:53,amazon came through when needed,hurricane milton was due to hit on thursday that is the day that amazon was to deliver babys pedialyte paper plates and paper towels amazon knowing we would need these items before storm came though and delivered them on tuesday two days before storm hit thank you amazon for jumping in when needed
41,Kelly Chamlee,1.0,"Friday, October 11, 2024 at 01:46:55 p.m.",1,amazon,United States,2024-10-01 13:46:55,they locked my account right before my,they locked my account right before my sons birthday i did everything on my end to get it unlocked they said i have to wait for their specialty team which cant be reached by phone  all my orders are on hold until my account is unlocked which means about 200 of my sons gifts are being held they refused to give me my money for these items they refuse to send my items and now im stuck without being able to get his gifts becuase they wont send them and they wont give me my money so i can get them somewhere else and the person on the phones could care less and told me i have to wait for the team to unlock it and there is no way to contact this team 
42,Mardoqueo Segovia,1.0,"Thursday, October 10, 2024 at 01:13:28 p.m.",1,amazon,United States,2024-10-01 13:13:28,amazon sucks,so i bought a keyboard piano a month ago and they sent me the wrong one i got a toy keyboard basically all beat up and dirt so i proceeded to return it the next day they said it would take up to a month for me to get a refund when i contacted amazon a couple of days ago they said the return was stuck at the processing center or whatever then asked me to send them id because of suspicious activity on my account and it will take 3 days for them to even consider refunding so my last step was to ask them to sent the refund to my bank account and not my amazon credit card i had payed with my bank credit card because i dont want to buy from this company anymore and they said that they cannot do that beware of this company and you better go buy from other companies like sweetwater or guitar center
43,Luke Cartwright,18.0,"Tuesday, October 8, 2024 at 11:51:35 a.m.",4,amazon,United Kingdom,2024-10-01 11:51:35,prime customer for several years now i have generally had a good experience ,been a prime customer for years have placed over 60 orders so far and most of the time i have had no problem with them next day delivery parcels have arrived safely at my door 90 of the time the only complaint i have is that a few weeks ago an item was clearly delivered to a wrong address yet when trying to get in touch with customer service i was met with a bot telling me i have to wait 4 days before i can raise a claim or request a replacementrefund 
44,Maria RW,10.0,"Thursday, October 10, 2024 at 10:31:19 a.m.",1,amazon,United Kingdom,2024-10-01 10:31:19,absolutely shocking goods and delivery service,absolutely shocking delivery service i order for next day delivery and the times keep changing keep getting put back and back and then at the last minute at ten pm they say its coming tomorrow then when tomorrow comes we go through the same process first it was being delivered between 215 and 415 now it is between 445 and 745 by the time 745 comes it will have changed yet again i have got far better things to do than sit here all day every daythey are also churning out the biggest load of cheap rubbish i have ever seen amazon has urned into the uk version of temu this is the last time i purchase anything from amazon
45,RODNEY JAMES,5.0,"Tuesday, October 8, 2024 at 10:34:01 p.m.",1,amazon,United States,2024-10-01 22:34:01,amazon delivery dates are not accurate,amazon allowing sellers to sell products with a promised delivery date before buying is a joke and has gotten much worst if you are buying at amazon do not base it on their delivery date its 5050 if that will be when you get it
46,Colin Moston,25.0,"Thursday, October 10, 2024 at 11:25:54 a.m.",1,amazon,United Kingdom,2024-10-01 11:25:54,poor delivery experiences,amazon provide a delivery window and then through the day it keeps being pushed back later and later  i suspect its the volume of deliveries that they allocate to their drivers
47,Casey Bemis,2.0,"Friday, October 11, 2024 at 12:32:54 p.m.",1,amazon,United States,2024-10-01 12:32:54,i have been shopping with amazon for,i have been shopping with amazon for over 20 years soi never had an issue until now i purchased something expensive for my dad as a late bday present it arrived we tried to get it to work gave up and sent it back the packages arrived at their warehouse two days after we sent it but no refund a week goes by nothing then i finally contact cs first they dont have it the account clearly marked as return received they tell me i have to submit id verification it doesnt work i went through a dozen different agents and got the same script and it was apparent that english was not their first language either last night i then get two different excuses it was stolen oh it was damaged and the oh you need to submit id again wth 
48,Mr Graham Miller,18.0,"Tuesday, October 8, 2024 at 11:22:11 a.m.",1,amazon,United Kingdom,2024-10-01 11:22:11,ripped off by dodgy chinese company on amazon,once again ripped off by false advertising by a chinese company on amazon a so called 2 mm thick titanium cutting board as advertised turned out to be 09 mm 304 stainless steel
49,Ronnie McCracken,6.0,"Wednesday, October 9, 2024 at 12:19:12 p.m.",2,amazon,United Kingdom,2024-10-01 12:19:12,if i were you i would stop selling,if i were you i would stop selling joola table tennis bats as i have had to faulty bats one was replaced and the other i still have contacted them direct and sent a photo what a waste of time thet are not interested as it was a present i have no gift receipt but wouldnt want any of ther products
50,St. Luke's Lutheran School,1.0,"Tuesday, October 8, 2024 at 06:35:42 p.m.",1,amazon,United States,2024-10-01 18:35:42,small school,i want to set a business account for a small private school and since we only have land lines they will not let me set up a business account or use my personal number since it is on my account i think this is one of the dumbest things ive heard and customer service said that they could do nothing to help me i guess i will buy my school supplies from venders who want to work with small schools and be helpful
51,Izzy,2.0,"Wednesday, October 9, 2024 at 10:29:28 a.m.",4,amazon,Austria,2024-10-01 10:29:28,its great,if you look at the reviews from the product before you buy you will almost never have a problem and if there is a problem you can aways ship its back in 14 days and them will give you a refund but shipping is not refundeblei recommend aways check if your product is new in the original packaging i have received products that should be new but as used i asked for a refund e thats worked greatthings that are electronicif its stop working you can become a refund too like you would in any another shop
53,Beverly Goode,2.0,"Tuesday, October 8, 2024 at 02:05:52 p.m.",2,amazon,United States,2024-10-01 14:05:52,trying to help my family in ashville,my son  family are in ashville they have no running water yet and things have been bad i wanted  to help and placed several orders with amazon to help them get essential items they had began getting mail and had seen amazon trucks in their neighborhood i ordered over 2 weeks ago everyday i get a delayed message i feel so bad because items like paper towels toilet paper and things like that are needed im afraid the next thing ill get is sorry but we had to cancel something should have been posted saying if you are sending things to north carolina expect delays 
54,Rodrigo Cardoso,7.0,"Sunday, October 6, 2024 at 06:36:50 p.m.",1,amazon,United States,2024-10-01 18:36:50,ordered a certina ds action diver,ordered a certina ds action diver titanium watch received a completely different watch and amazons policy for watches is that it can take up to 30 days before issuing a refund so now i have to wait before being able to purchase the watch again somewhere else basically the customer pays for amazons incompetence this is happening way too often im done with amazon 
55,Paul,4.0,"Wednesday, October 9, 2024 at 06:38:04 p.m.",5,amazon,United Kingdom,2024-10-01 18:38:04,great service,on the day i has the final instalment of a terrible service from music magpie i had the exact opposite experience with amazon they dealt with my query quickly and professionally and i couldnt speak higher of the service been a loyal customer for years for good reason 
56,Philip,38.0,"Thursday, October 10, 2024 at 10:32:56 a.m.",1,amazon,United Kingdom,2024-10-01 10:32:56,avoid amazon like the plague,avoid amazon like the plague i bought an item that was advertised at 699 and i was charged 1497  when i asked why they say it was a private seller so prime is unusable then customer care couldnt care a jot honestly its a scandal this site steer clear from it 
57,Suellen Marane,5.0,"Tuesday, October 8, 2024 at 02:11:48 p.m.",2,amazon,United Kingdom,2024-10-01 14:11:48,didnt get my order,i ordered a beach cover up for my holidays and i never got it amazon drivers are leaving the packages at the door not even knocking or ringing the bell i work from home so i am always at home and going away for this particular order that i mentioned at the beginning they marked as delivered but it was not in front of my building i checked with my neighbors nothing the package disappearedi got a refund from amazon but i was expecting the item sometimes we need to deliver the items to other buildings on the street because they deliver on our building but it is not ours very messy
58,Petros Alvertis,1.0,"Friday, October 11, 2024 at 07:35:42 p.m.",1,amazon,United States,2024-10-01 19:35:42,4 weeks now multiple orders never,4 weeks now multiple orders never delivered not even shipped my account is charged for over 1000 and now they dont even give me the option to cancel and refund cause the orders have been already shipped and are on the way 4 fing weeks amazon 
59,LesH,19.0,"Saturday, October 5, 2024 at 06:08:35 p.m.",1,amazon,United Kingdom,2024-10-01 18:08:35,amazon warehouse clearance pallet  scam,paid for what i thought would be an interesting lot amazon warehouse clearance pallet instead it is just another scamif you find anything with the email address findsurpriseboxcom   then swiftly move oni paid 32 for 2 small items i could have purchased for probably less than 10  you have been warned
60,April Park,1.0,"Thursday, October 10, 2024 at 07:27:49 p.m.",5,amazon,United States,2024-10-01 19:27:49,fast shipping,i was pleasantly surprised by how fast my order arrived the shipping was incredibly quick and the product was exactly as described great experience overall highly recommend
61,Carl Blake,7.0,"Sunday, October 6, 2024 at 02:48:57 p.m.",1,amazon,United Kingdom,2024-10-01 14:48:57,badly let down by amazon ,i purchased an intel from amazon for 341 which proved to be faulty they have had it back now in their possession and acknowledged a refund will be made for over a week they have twice delayed the refund due to  exceptional circumstances and customer service are much less use than an automated message you would expect them to live up to their promise they take my money instantly and yet im expected to wait for probably weeks for my money back very bad service and very let down 
62,Dark Star,6.0,"Wednesday, October 9, 2024 at 06:24:02 a.m.",1,amazon,United Kingdom,2024-10-01 06:24:02,blocks accounts without warning or adequete information,had my ability to review restricted stating i have broken community guidelinesthe emails provided by amazon fail to say which review is meant to have broken their guidelines  clearly a template has been sent but they have failed to swap the review title and asin title for whatever the review or product is meant to be  similarly their follow up where they proceeded to restrict the account fails to edit their template too not swapping date out for when the review was meant to have been lefttheir links to the community guidelines dont help as there is no way to find which guideline is meant to have been broken when they fail to provide a link to the review in questiontheir support line is also useless the response has been no help just repeated the same cutandpaste statements without any attempt to actually address the issue or just sending you round in circles to the same places you have been sent before
63,Steve Davis,29.0,"Thursday, October 10, 2024 at 02:19:26 p.m.",1,amazon,United Kingdom,2024-10-01 14:19:26,place an order,place an ordermonies taken so item paid foramazon confirmsemail to say dispatchedemail to say it has reached the final depot for deliveryout for delivery click to track packagepackage delivery slot shown 1715 to 19151700 email from amazon to say sorry your order has been delayed expected to be received and delivered not today 10102024 but 12102024 followed by we are sorry for the delay ifyou have not received your package by 12 october youcan come back here the nextday for a refundpoor customer services no real explanationeither the tracking and emails are real where is my package or they are false so why send them in the first placenot the first time that they have let me downmy last order should have given me an inkling of issueswhen from guaranteed before 1 pm to sometime before and up to 10pm to the delivery arriving at 1030pmno apology no reflection on the guaranteed deliveryjust a pestering to leave feedback which was rejected because they didnt like the polite truth i wanted to leave
64,Morgan,34.0,"Sunday, October 6, 2024 at 06:53:16 a.m.",1,amazon,United Kingdom,2024-10-01 06:53:16,why are amazon not delivering saturdays,why are amazon not delivering saturdays and sundays anymore for the past two weeks any orders placed late thursday evening to sunday will be delivered on monday  that is unacceptable as i do not work the weekend and someone in household is more likely to be in at any given time  when i messaged my concern i got a generic response if this continues i will buy my items elsewhere
65,Svetlin Petrov,20.0,"Friday, October 11, 2024 at 04:43:31 p.m.",1,amazon,United Kingdom,2024-10-01 16:43:31,amazon abuse with the peoples,amazon abuse with the peoples i have 2 orders not delivered and have no refund and the costumer service lied when they talked to me  bunch of criminals
66,Owen Davies,46.0,"Tuesday, October 8, 2024 at 08:39:38 a.m.",1,amazon,United Kingdom,2024-10-01 08:39:38,again poor service from amazon,again poor service from amazontheir call back service has not been available for the last 24hrsthey make 10s of millions of profit  cant or as usual dont want to help customersive stopped my subscriptions from 04 oct 2024 i said to the customer rep why  said i was going to leave a review  on trust pilot uk i was told they have no interest on trust pilot reviews  as it has no effect on their business
67,Simon,29.0,"Sunday, October 6, 2024 at 08:34:03 a.m.",1,amazon,United Kingdom,2024-10-01 08:34:03,lazy delivery driver,received a text from delivery driver stating they were 5 minutes away so please secure pets and turn on lights we live in a very rural place so you can see headlights approaching this didnt happen instead i got another text saying there was a problem with delivery attempt  yes the problem was the driver was too bone idle to drive down our lane and this is happening more and more
68,Steven Sames,9.0,"Monday, October 7, 2024 at 07:16:22 a.m.",1,amazon,United Kingdom,2024-10-01 07:16:22,its an absolutely disgraceful company,its an absolutely disgraceful company and management team are very rude was no help at all cancelled an order i didnt ask to be cancelled and hav the call recorded will certainly not be using the company again and hav my solicitor on the ball and just getting on ball to trading standards 
69,BARRY BUELER,1.0,"Sunday, October 6, 2024 at 08:58:12 a.m.",2,amazon,United States,2024-10-01 08:58:12,paid good extra money for next day,paid good extra money for next day delivery amazon said it was coming on time late in the day i called to inquire about order i was told it was sitting on the line in the distribution center not moving and unknown when i would get it this morning another day later still not shipped no delivery time listed on a next day delivery i should have checked elsewhere first for my item ebay walmart direct from a seller maybe even temu this is a part for a heating system starting to get some cold nights here in the northeast
70,Carlos Dannenberg,3.0,"Saturday, October 5, 2024 at 11:33:27 p.m.",1,amazon,United States,2024-10-01 23:33:27,worst delivery service,worst delivery service ive been paying prime to get better delivery timing and zip screwed over this last 8 months after finishing my purchase and getting a set delivery time and date boom they keep changing the arrival date and time no reason no excuse the delivery service center got no clue on how to handle customer service and on top of that you have no access to a phone  or chat to complain and if you do the just answer cancel and we give you the refund i want my product dont sell something you can provide amazon is frustrating and im getting disappointed i think i will switch to another company 
